hole_id,dataset_id,project_id,campaign_id,depth_m,azimuth_deg,dip_deg
PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,0.000000000,39.999999997,-84.000000000
PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,60.000000000,39.999999997,-84.000000000
PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,120.000000000,39.999999997,-84.000000000
PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,180.000000000,39.999999997,-84.000000000
PN-C01-001,DS02,pampa_norte,CAMPAIGN_01,238.000546140,39.999999997,-84.000000000
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,0.000000000,13.434948823,-84.000000000
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,60.000000000,13.434948823,-84.000000000
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,120.000000000,13.434948823,-84.000000000
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,180.000000000,13.434948823,-84.000000000
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,240.000000000,13.434948823,-84.000000000
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,300.000000000,13.434948823,-84.000000000
PN-C01-002,DS02,pampa_norte,CAMPAIGN_01,309.357679495,13.434948823,-84.000000000
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,0.000000000,336.565051178,-84.000000000
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,60.000000000,336.565051178,-84.000000000
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,120.000000000,336.565051178,-84.000000000
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,180.000000000,336.565051178,-84.000000000
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,240.000000000,336.565051178,-84.000000000
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,300.000000000,336.565051178,-84.000000000
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,360.000000000,336.565051178,-84.000000000
PN-C01-003,DS02,pampa_norte,CAMPAIGN_01,396.875606288,336.565051178,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,0.000000000,309.999999997,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,60.000000000,309.999999997,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,120.000000000,309.999999997,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,180.000000000,309.999999997,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,240.000000000,309.999999997,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,300.000000000,309.999999997,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,360.000000000,309.999999997,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,420.000000000,309.999999997,-84.000000000
PN-C01-004,DS02,pampa_norte,CAMPAIGN_01,428.948750051,309.999999997,-84.000000000
PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,0.000000000,66.565051182,-84.000000000
PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,60.000000000,66.565051182,-84.000000000
PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,120.000000000,66.565051182,-84.000000000
PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,180.000000000,66.565051182,-84.000000000
PN-C01-005,DS02,pampa_norte,CAMPAIGN_01,220.000000000,66.565051182,-84.000000000
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,0.000000000,39.999999994,-84.000000000
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,60.000000000,39.999999994,-84.000000000
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,120.000000000,39.999999994,-84.000000000
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,180.000000000,39.999999994,-84.000000000
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,240.000000000,39.999999994,-84.000000000
PN-C01-006,DS02,pampa_norte,CAMPAIGN_01,241.328201212,39.999999994,-84.000000000
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,0.000000000,309.999999997,-84.000000000
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,60.000000000,309.999999997,-84.000000000
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,120.000000000,309.999999997,-84.000000000
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,180.000000000,309.999999997,-84.000000000
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,240.000000000,309.999999997,-84.000000000
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,300.000000000,309.999999997,-84.000000000
PN-C01-007,DS02,pampa_norte,CAMPAIGN_01,340.780390749,309.999999997,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,0.000000000,283.434948823,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,60.000000000,283.434948823,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,120.000000000,283.434948823,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,180.000000000,283.434948823,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,240.000000000,283.434948823,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,300.000000000,283.434948823,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,360.000000000,283.434948823,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,420.000000000,283.434948823,-84.000000000
PN-C01-008,DS02,pampa_norte,CAMPAIGN_01,452.568832428,283.434948823,-84.000000000
PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,0.000000000,103.434948823,-84.000000000
PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,60.000000000,103.434948823,-84.000000000
PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,120.000000000,103.434948823,-84.000000000
PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,180.000000000,103.434948823,-84.000000000
PN-C01-009,DS02,pampa_norte,CAMPAIGN_01,220.000000000,103.434948823,-84.000000000
PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,0.000000000,129.999999997,-84.000000000
PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,60.000000000,129.999999997,-84.000000000
PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,120.000000000,129.999999997,-84.000000000
PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,180.000000000,129.999999997,-84.000000000
PN-C01-010,DS02,pampa_norte,CAMPAIGN_01,220.000000000,129.999999997,-84.000000000
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,0.000000000,219.999999994,-84.000000000
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,60.000000000,219.999999994,-84.000000000
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,120.000000000,219.999999994,-84.000000000
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,180.000000000,219.999999994,-84.000000000
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,240.000000000,219.999999994,-84.000000000
PN-C01-011,DS02,pampa_norte,CAMPAIGN_01,241.328201212,219.999999994,-84.000000000
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,0.000000000,246.565051182,-84.000000000
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,60.000000000,246.565051182,-84.000000000
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,120.000000000,246.565051182,-84.000000000
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,180.000000000,246.565051182,-84.000000000
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,240.000000000,246.565051182,-84.000000000
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,300.000000000,246.565051182,-84.000000000
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,360.000000000,246.565051182,-84.000000000
PN-C01-012,DS02,pampa_norte,CAMPAIGN_01,367.039949427,246.565051182,-84.000000000
PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,0.000000000,129.999999997,-79.823980860
PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,60.000000000,129.999999997,-79.823980860
PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,120.000000000,129.999999997,-79.823980860
PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,180.000000000,129.999999997,-79.823980860
PN-C01-013,DS02,pampa_norte,CAMPAIGN_01,220.000000000,129.999999997,-79.823980860
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,0.000000000,156.565051178,-84.000000000
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,60.000000000,156.565051178,-84.000000000
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,120.000000000,156.565051178,-84.000000000
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,180.000000000,156.565051178,-84.000000000
PN-C01-014,DS02,pampa_norte,CAMPAIGN_01,220.000000000,156.565051178,-84.000000000
PN-C01-015,DS02,pampa_norte,CAMPAIGN_01,0.000000000,193.434948823,-84.000000000
